Time (min)	Temperature (C)	Weight (mg)
3.3875	26.88071	10.57663
3.4	26.90744	10.57662
3.416666	26.94746	10.57661
3.429166	26.97315	10.57659
3.441666	27.0014	10.57662
3.454167	27.02362	10.5766
3.466667	27.05426	10.57666
3.483333	27.09564	10.57669
3.495834	27.13726	10.57679
3.508333	27.16652	10.5768
3.520833	27.17542	10.57682
3.533333	27.20451	10.57686
3.55	27.23704	10.57682
3.5625	27.26733	10.57676
3.575	27.29248	10.57668
3.5875	27.32014	10.57666
3.6	27.34776	10.57667
3.6125	27.3731	10.57664
3.625	27.40226	10.57666
3.641667	27.43828	10.57669
3.654167	27.4687	10.57676
3.666666	27.4932	10.57674
3.679166	27.52666	10.57669
3.691666	27.54918	10.57668
3.708334	27.5845	10.57663
3.720833	27.60886	10.57665
3.733333	27.64028	10.57663
3.745834	27.66604	10.57664
3.758333	27.69563	10.57666
3.775	27.72969	10.57668
3.7875	27.755	10.57671
3.8	27.78231	10.57668
3.8125	27.81327	10.57665
3.825	27.84106	10.57664
3.841667	27.87596	10.57669
3.854167	27.90506	10.5767
3.866667	27.93256	10.57674
3.879166	27.95781	10.57682
3.891667	27.98637	10.57687
3.904167	28.01134	10.57692
3.916666	28.04131	10.57691
3.933334	28.08611	10.57691
3.945834	28.10894	10.57692
3.958334	28.1319	10.57686
3.970833	28.16347	10.57685
3.983333	28.18742	10.57684
4	28.22474	10.57677
4.0125	28.25498	10.5767
4.025	28.2818	10.57666
4.0375	28.30922	10.57662
4.05	28.3368	10.57653
4.066666	28.37098	10.5764
4.079167	28.39453	10.57636
4.091667	28.4269	10.57641
4.104166	28.45387	10.57644
4.116667	28.48196	10.57646
4.129166	28.51094	10.57648
4.141666	28.53786	10.57652
4.158333	28.5736	10.57657
4.170833	28.59976	10.57656
4.183334	28.64305	10.5765
4.195833	28.66479	10.57645
4.208334	28.6873	10.57647
4.225	28.7212	10.57654
4.2375	28.74896	10.57656
4.25	28.77672	10.57662
4.2625	28.80626	10.57669
4.275	28.8339	10.57677
4.291666	28.8723	10.5768
4.304167	28.9023	10.5768
4.316666	28.93136	10.57678
4.329167	28.95746	10.57675
4.341667	28.98428	10.57674
4.358334	29.02252	10.57672
4.370834	29.05379	10.5767
4.383333	29.07646	10.57664
4.395834	29.10504	10.57659
4.408333	29.13553	10.57662
4.420833	29.163	10.57663
4.433334	29.19188	10.57663
4.45	29.22875	10.57662
4.4625	29.2621	10.57662
4.475	29.28656	10.57667
4.4875	29.31436	10.57668
4.5	29.34411	10.57666
4.516666	29.38098	10.57666
4.529167	29.41045	10.57661
4.541666	29.44074	10.57665
4.554167	29.47155	10.57669
4.566666	29.49603	10.57666
4.583334	29.53699	10.57669
4.595833	29.55962	10.5767
4.608334	29.59194	10.5767
4.620834	29.61951	10.5767
4.633333	29.64826	10.57673
4.645834	29.67862	10.57675
4.658333	29.70815	10.57676
4.675	29.74504	10.57667
4.6875	29.77406	10.57668
4.7	29.80228	10.57671
4.7125	29.83074	10.57675
4.725	29.86009	10.57675
4.741667	29.89795	10.57674
4.754166	29.92726	10.57676
4.766666	29.95527	10.57677
4.779167	29.98586	10.57672
4.791666	30.01595	10.57668
4.808334	30.05228	10.57667
4.820833	30.08375	10.57668
4.833334	30.1106	10.57674
4.845833	30.14024	10.57679
4.858334	30.16809	10.57683
4.875	30.20642	10.57684
4.8875	30.23828	10.57683
4.9	30.2664	10.5768
4.9125	30.29639	10.57679
4.925	30.32295	10.5768
4.9375	30.35601	10.57678
4.95	30.38316	10.5768
4.966667	30.42278	10.57684
4.979166	30.45323	10.57688
4.991667	30.48057	10.57691
5.004166	30.51119	10.57689
5.016666	30.53935	10.57684
5.033333	30.5786	10.57678
5.045833	30.60644	10.5767
5.058334	30.63414	10.5767
5.070833	30.6665	10.57658
5.083334	30.6962	10.57656
5.1	30.73211	10.5766
5.1125	30.76652	10.57666
5.125	30.79232	10.5767
5.1375	30.83072	10.57669
5.15	30.86616	10.57677
5.1625	30.89303	10.57677
5.175	30.92006	10.57673
5.191666	30.94967	10.57672
5.204167	30.9782	10.57672
5.216667	31.00902	10.57671
5.229166	31.03396	10.57668
5.241667	31.06252	10.57674
5.258332	31.10325	10.57676
5.270834	31.1356	10.57674
5.283332	31.16536	10.57663
5.295832	31.19368	10.57654
5.308334	31.22846	10.57649
5.325	31.27918	10.57649
5.3375	31.29228	10.5765
5.35	31.32301	10.57652
5.3625	31.35158	10.57656
5.375	31.38144	10.57669
5.391666	31.41825	10.57681
5.404168	31.44718	10.57683
5.416666	31.47562	10.57686
5.429168	31.5067	10.57688
5.441666	31.54186	10.5769
5.454168	31.56387	10.57692
5.466668	31.59524	10.57687
5.483334	31.63308	10.57688
5.495834	31.66396	10.57684
5.508332	31.69332	10.57684
5.520834	31.7202	10.57685
5.533332	31.75238	10.5768
5.55	31.79342	10.57676
5.5625	31.81996	10.57673
5.575	31.85516	10.57672
5.5875	31.89484	10.57672
5.6	31.92372	10.57673
5.616668	31.96224	10.57685
5.629166	31.9943	10.57682
5.641666	32.01328	10.57683
5.654168	32.03588	10.57681
5.666666	32.06872	10.57678
5.679168	32.0944	10.57676
5.691666	32.12383	10.57669
5.708334	32.1646	10.57674
5.720832	32.19576	10.57677
5.733334	32.22458	10.57677
5.745834	32.25534	10.57677
5.758332	32.28418	10.57677
5.775	32.32328	10.57673
5.7875	32.35047	10.57672
5.8	32.38157	10.57666
5.8125	32.40905	10.57669
5.825	32.44034	10.57676
5.841668	32.47842	10.5768
5.854166	32.50697	10.57681
5.866668	32.53986	10.57683
5.879166	32.57122	10.57687
5.891666	32.59453	10.57687
5.908332	32.63815	10.57687
5.920832	32.66723	10.57684
5.933334	32.69741	10.57687
5.945832	32.73146	10.5769
5.958334	32.75586	10.57687
5.970832	32.7842	10.57685
5.983334	32.81272	10.57682
6	32.85266	10.57674
6.0125	32.88452	10.57668
6.025	32.91235	10.57667
6.0375	32.94228	10.57666
6.05	32.96835	10.57668
6.066666	33.01008	10.57674
6.079168	33.03978	10.57676
6.091668	33.07131	10.57676
6.104166	33.09692	10.57678
6.116668	33.1291	10.57676
6.133332	33.16816	10.57676
6.145834	33.19888	10.57674
6.158332	33.22718	10.57678
6.170832	33.25186	10.57684
6.183334	33.28445	10.57685
6.195832	33.31564	10.57686
6.208334	33.34374	10.57685
6.225	33.3841	10.5768
6.2375	33.41558	10.57679
6.25	33.4408	10.57677
6.2625	33.47606	10.57681
6.275	33.50388	10.5768
6.291666	33.5415	10.57679
6.304168	33.57004	10.57682
6.316666	33.59892	10.57688
6.329168	33.62442	10.57685
6.341668	33.6547	10.57684
6.358334	33.6966	10.57684
6.370834	33.72416	10.57683
6.383332	33.7543	10.57686
6.395834	33.78439	10.57678
6.408334	33.81344	10.57676
6.425	33.85214	10.57677
6.4375	33.88391	10.57678
6.45	33.91008	10.57679
6.4625	33.9373	10.57678
6.475	33.96587	10.57678
6.4875	33.99839	10.57682
6.5	34.02649	10.57686
6.516666	34.06549	10.57684
6.529166	34.09424	10.57685
6.541666	34.12209	10.57686
6.554168	34.15339	10.5769
6.566666	34.18291	10.57692
6.583334	34.22223	10.5769
6.595834	34.25279	10.57693
6.608334	34.27971	10.57691
6.620834	34.30414	10.57689
6.633332	34.33972	10.57692
6.65	34.37586	10.57688
6.6625	34.4067	10.57692
6.675	34.43542	10.57694
6.6875	34.46558	10.57692
6.7	34.49498	10.57694
6.7125	34.52261	10.57692
6.725	34.55106	10.5769
6.741668	34.59006	10.57689
6.754166	34.61703	10.57685
6.766666	34.64788	10.5769
6.779166	34.67683	10.57689
6.791666	34.70615	10.5769
6.808334	34.74461	10.57694
6.820832	34.77679	10.57694
6.833334	34.80414	10.57692
6.845834	34.83538	10.57689
6.858334	34.8661	10.57686
6.875	34.90034	10.57686
6.8875	34.93375	10.57685
6.9	34.95898	10.57687
6.9125	34.98812	10.57688
6.925	35.01946	10.57692
6.941666	35.0621	10.57695
6.954168	35.08478	10.57693
6.966666	35.11556	10.57691
6.979166	35.1431	10.57686
6.991668	35.17416	10.57678
7.004166	35.20445	10.57676
7.016666	35.2333	10.57674
7.033334	35.26733	10.57677
7.045832	35.29811	10.57683
7.058334	35.32881	10.57689
7.070832	35.35705	10.57698
7.083334	35.38565	10.57702
7.1	35.42783	10.57707
7.1125	35.4546	10.57708
7.125	35.48687	10.57708
7.1375	35.51383	10.57706
7.15	35.54635	10.57706
7.166666	35.58406	10.57706
7.179168	35.6099	10.57704
7.191666	35.63758	10.577
7.204168	35.66753	10.577
7.216666	35.6988	10.57702
7.229166	35.72628	10.57702
7.241668	35.7554	10.57699
7.258332	35.79612	10.57697
7.270834	35.82344	10.57694
7.283334	35.85234	10.57694
7.295832	35.88572	10.57694
7.308334	35.91094	10.57692
7.325	35.9516	10.57688
7.3375	35.981	10.57687
7.35	36.0085	10.57684
7.3625	36.03769	10.57684
7.375	36.06464	10.57673
7.391666	36.10517	10.57667
7.404166	36.13522	10.57675
7.416666	36.16159	10.5767
7.429168	36.19816	10.57681
7.441666	36.22008	10.57677
7.458334	36.25968	10.57681
7.470834	36.29095	10.57686
7.483334	36.31963	10.57679
7.495834	36.34549	10.57678
7.508332	36.37525	10.57673
7.520834	36.40364	10.5767
7.533334	36.4369	10.57674
7.55	36.47074	10.57677
7.5625	36.50222	10.57679
7.575	36.5303	10.5768
7.5875	36.56384	10.57684
7.6	36.59042	10.57686
7.616668	36.6291	10.57683
7.629166	36.65813	10.57682
7.641666	36.68892	10.5768
7.654166	36.7191	10.57677
7.666666	36.74414	10.57673
7.683334	36.78241	10.57666
7.695832	36.814	10.57664
7.708334	36.84157	10.57662
7.720834	36.86898	10.57666
7.733334	36.89805	10.57668
7.745834	36.92788	10.57677
7.758332	36.95336	10.57682
7.775	36.9927	10.57692
7.7875	37.0218	10.57698
7.8	37.05616	10.57697
7.8125	37.08194	10.577
7.825	37.11136	10.57697
7.841666	37.15241	10.57699
7.854166	37.1804	10.57698
7.866668	37.21016	10.577
