Time (min)	Temperature (C)	Weight (mg)
5.2625	44.04696	11.01207
5.270834	44.0885	11.01209
5.279168	44.13227	11.01215
5.2875	44.17154	11.01216
5.295832	44.21026	11.01215
5.304168	44.25756	11.01214
5.3125	44.30142	11.01212
5.320832	44.34296	11.01207
5.329168	44.38955	11.01206
5.3375	44.42863	11.01208
5.345832	44.47354	11.01205
5.354166	44.51843	11.01203
5.3625	44.55863	11.01199
5.370834	44.60272	11.01198
5.379166	44.64256	11.01198
5.3875	44.68652	11.01201
5.395834	44.7274	11.01207
5.404168	44.77043	11.01207
5.4125	44.81598	11.01209
5.420832	44.85624	11.01208
5.429168	44.89907	11.01212
5.4375	44.94328	11.01218
5.445832	44.98082	11.01224
5.454168	45.02569	11.01228
5.4625	45.0716	11.01228
5.470832	45.10922	11.01228
5.479166	45.16074	11.01225
5.4875	45.21153	11.01229
5.495834	45.25608	11.01231
5.504166	45.30054	11.01231
5.5125	45.34512	11.0123
5.520834	45.38328	11.01226
5.529168	45.41211	11.0122
5.5375	45.45608	11.0122
5.545832	45.5029	11.01221
5.554168	45.53918	11.0122
5.5625	45.58135	11.01216
5.570832	45.62866	11.01208
5.579168	45.671	11.01204
5.5875	45.71138	11.01197
5.595832	45.76	11.01192
5.604166	45.80093	11.01189
5.6125	45.84088	11.0119
5.620834	45.8825	11.01189
5.629166	45.93158	11.01187
5.6375	45.96986	11.01188
5.645834	46.01016	11.01191
5.654168	46.05376	11.01196
5.6625	46.09693	11.01201
5.670832	46.14072	11.0121
5.679168	46.18389	11.01217
5.6875	46.22506	11.01222
5.695832	46.26848	11.01223
5.704168	46.31321	11.01224
5.7125	46.34992	11.01228
5.720832	46.39822	11.01227
5.729166	46.43842	11.01228
5.7375	46.48109	11.0123
5.745834	46.52262	11.01229
5.754166	46.5674	11.01225
5.7625	46.6219	11.01224
5.770834	46.67232	11.01222
5.779168	46.70937	11.01216
5.7875	46.75445	11.01216
5.795832	46.79444	11.01211
5.804168	46.83415	11.0121
5.8125	46.8668	11.01206
5.820832	46.90756	11.012
5.829168	46.9539	11.01203
5.8375	46.9945	11.01206
5.845832	47.0381	11.01207
5.854166	47.08332	11.0121
5.8625	47.1158	11.01217
5.870834	47.1641	11.01218
5.879166	47.20706	11.0122
5.8875	47.25243	11.01224
5.895834	47.29336	11.01231
5.904168	47.34219	11.01235
5.9125	47.3807	11.01232
5.920832	47.42415	11.01231
5.929168	47.46062	11.01233
5.9375	47.51052	11.01234
5.945832	47.54937	11.01234
5.954168	47.59398	11.01234
5.9625	47.63556	11.01232
5.970832	47.67617	11.0123
5.979166	47.72109	11.01227
5.9875	47.76204	11.01228
5.995834	47.80556	11.01229
6.004166	47.84986	11.01229
6.0125	47.89098	11.01225
6.020834	47.93438	11.01221
6.029168	47.97979	11.01219
6.0375	48.02074	11.01219
6.045832	48.06088	11.0122
6.054168	48.10072	11.01223
6.0625	48.14347	11.01224
6.070832	48.1891	11.01223
6.079168	48.23386	11.01223
6.0875	48.27628	11.01222
6.095832	48.31888	11.01224
6.104166	48.35828	11.01226
6.1125	48.3983	11.01224
6.120834	48.4426	11.01224
6.129166	48.48227	11.01224
6.1375	48.52964	11.01221
6.145834	48.56687	11.0122
6.154168	48.6164	11.01217
6.1625	48.65969	11.01214
6.170832	48.70082	11.01216
6.179168	48.74174	11.01217
6.1875	48.78352	11.01216
6.195832	48.82594	11.01216
6.204168	48.8691	11.01219
6.2125	48.913	11.01217
