"Time (min)"	"Temperature (°C)"	"Weight (mg)"
2.345833	41.80615	20.26112
2.354167	41.89959	20.26098
2.362500	41.98833	20.26084
2.370834	42.07882	20.26069
2.379166	42.16650	20.26053
2.387500	42.25440	20.26039
2.395833	42.34962	20.26021
2.404167	42.43628	20.26001
2.412500	42.52472	20.25985
2.420834	42.61100	20.25966
2.429166	42.70639	20.25950
2.437500	42.79740	20.25937
2.445834	42.88416	20.25924
2.454166	42.97534	20.25909
2.462500	43.06767	20.25895
2.470833	43.15106	20.25882
2.479167	43.24128	20.25870
2.487500	43.32970	20.25864
2.495834	43.41587	20.25856
2.504166	43.50432	20.25849
2.512500	43.59879	20.25840
2.520833	43.68347	20.25831
2.529167	43.77050	20.25822
2.537500	43.85859	20.25813
2.545834	43.94607	20.25801
2.554166	44.03732	20.25789
2.562500	44.12688	20.25777
2.570834	44.21356	20.25763
2.579166	44.30096	20.25746
2.587500	44.38781	20.25734
2.595833	44.47710	20.25720
2.604167	44.56514	20.25703
2.612500	44.65606	20.25685
2.620834	44.73953	20.25666
2.629166	44.82914	20.25647
2.637500	44.91228	20.25628
2.645833	45.00019	20.25612
2.654167	45.08893	20.25598
2.662500	45.17546	20.25579
2.670834	45.26450	20.25560
2.679166	45.35098	20.25542
2.687500	45.43310	20.25526
2.695834	45.52119	20.25513
2.704166	45.60936	20.25503
2.712500	45.69532	20.25492
2.720833	45.78565	20.25478
2.729167	45.86947	20.25461
2.737500	45.95221	20.25441
2.745834	46.03563	20.25427
2.754166	46.12632	20.25410
2.762500	46.20777	20.25392
2.770833	46.29892	20.25372
2.779167	46.38470	20.25351
2.787500	46.47113	20.25328
2.795834	46.55361	20.25304
2.804166	46.64229	20.25278
2.812500	46.72724	20.25256
2.820834	46.81406	20.25239
2.829166	46.89569	20.25220
2.837500	46.97835	20.25204
2.845833	47.06832	20.25189
2.854167	47.15348	20.25175
2.862500	47.23613	20.25160
2.870834	47.31880	20.25144
2.879166	47.40113	20.25131
2.887500	47.48992	20.25124
2.895833	47.57220	20.25113
2.904167	47.66009	20.25095
2.912500	47.74406	20.25076
2.920834	47.82956	20.25059
2.929166	47.91270	20.25040
2.937500	47.99389	20.25020
2.945834	48.08274	20.24998
2.954166	48.16172	20.24978
2.962500	48.24328	20.24960
2.970833	48.33108	20.24942
2.979167	48.41394	20.24926
2.987500	48.49869	20.24910
2.995834	48.58584	20.24896
3.004166	48.66622	20.24880
3.012500	48.74792	20.24861
3.020833	48.83150	20.24844
3.029167	48.91238	20.24829
3.037500	48.99980	20.24816
3.045834	49.08035	20.24797
3.054166	49.16626	20.24778
3.062500	49.24576	20.24760
3.070834	49.32821	20.24743
3.079166	49.41487	20.24724
3.087500	49.49356	20.24703
3.095833	49.57947	20.24685
3.104167	49.65769	20.24669
3.112500	49.73898	20.24649
3.120834	49.82522	20.24628
3.129166	49.90789	20.24608
3.137500	49.98917	20.24587
3.145833	50.07307	20.24566
3.154167	50.15262	20.24547
3.162500	50.23384	20.24528
3.170834	50.31974	20.24508
3.179166	50.40058	20.24487
3.187500	50.48460	20.24464
3.195834	50.56239	20.24444
3.204167	50.64933	20.24423
3.212500	50.72658	20.24398
3.220833	50.80969	20.24373
3.229167	50.89162	20.24350
3.237500	50.97632	20.24323
3.245834	51.05257	20.24298
3.254166	51.13610	20.24274
3.262500	51.21797	20.24252
3.270833	51.29744	20.24233
3.279167	51.38067	20.24212
3.287500	51.46228	20.24192
3.295833	51.54311	20.24175
3.304166	51.62344	20.24159
3.312500	51.70444	20.24138
3.320834	51.78604	20.24119
3.329167	51.86840	20.24101
3.337500	51.94301	20.24082
3.345833	52.03079	20.24062
3.354167	52.11121	20.24041
3.362500	52.19376	20.24019
3.370834	52.27104	20.23997
3.379166	52.35231	20.23976
3.387500	52.43296	20.23953
