"Time (min)"	"Temperature (°C)"	"Weight (mg)"
3.237500	80.78512	20.59068
3.245834	80.94206	20.58991
3.254166	81.10478	20.58917
3.262500	81.26270	20.58842
3.270833	81.42231	20.58762
3.279167	81.58470	20.58680
3.287500	81.74294	20.58604
3.295833	81.90593	20.58523
3.304166	82.08103	20.58440
3.312500	82.24081	20.58358
3.320834	82.39828	20.58278
3.329167	82.55958	20.58196
3.337500	82.71361	20.58114
3.345833	82.86710	20.58034
3.354167	83.02902	20.57955
3.362500	83.18586	20.57878
3.370834	83.34919	20.57798
3.379166	83.50429	20.57715
3.387500	83.66822	20.57634
3.395833	83.82603	20.57558
3.404167	83.98869	20.57477
3.412500	84.14316	20.57397
3.420833	84.30407	20.57315
3.429166	84.46072	20.57234
3.437500	84.62472	20.57156
3.445834	84.78184	20.57072
3.454167	84.93974	20.56990
3.462500	85.10032	20.56910
3.470833	85.25894	20.56828
3.479167	85.41530	20.56743
3.487500	85.57710	20.56659
3.495834	85.73921	20.56577
3.504166	85.89601	20.56494
3.512500	86.05772	20.56412
3.520833	86.22019	20.56329
3.529167	86.37672	20.56245
3.537500	86.53550	20.56159
3.545833	86.69335	20.56075
3.554166	86.85408	20.55986
3.562500	87.01331	20.55891
3.570834	87.18358	20.55804
3.579167	87.33504	20.55719
3.587500	87.49351	20.55629
3.595833	87.65411	20.55538
3.604167	87.81366	20.55449
3.612500	87.97191	20.55365
3.620834	88.13184	20.55282
3.629166	88.28918	20.55197
3.637500	88.44825	20.55117
3.645833	88.60918	20.55042
3.654167	88.76994	20.54958
3.662500	88.93112	20.54873
3.670833	89.09094	20.54796
3.679166	89.24540	20.54715
3.687500	89.41122	20.54629
3.695834	89.57075	20.54544
3.704167	89.72890	20.54457
3.712500	89.88884	20.54369
3.720833	90.04745	20.54280
3.729167	90.20840	20.54190
3.737500	90.36492	20.54099
3.745834	90.52505	20.54006
3.754166	90.68634	20.53920
3.762500	90.84381	20.53838
3.770833	91.00749	20.53752
3.779167	91.16379	20.53664
3.787500	91.32931	20.53577
3.795833	91.48576	20.53490
3.804166	91.64738	20.53400
3.812500	91.80418	20.53312
3.820834	91.96768	20.53225
3.829167	92.12647	20.53138
3.837500	92.28503	20.53040
3.845833	92.44648	20.52943
3.854167	92.60636	20.52852
3.862500	92.76516	20.52763
3.870834	92.92462	20.52677
3.879166	93.08715	20.52589
3.887500	93.24962	20.52501
3.895833	93.40982	20.52412
3.904167	93.56991	20.52324
3.912500	93.72847	20.52232
3.920833	93.88861	20.52139
3.929166	94.05128	20.52050
3.937500	94.20920	20.51966
3.945834	94.37118	20.51881
3.954167	94.53224	20.51789
3.962500	94.69124	20.51695
3.970833	94.85309	20.51605
3.979167	95.01408	20.51519
3.987500	95.17379	20.51428
3.995834	95.33541	20.51341
4.004166	95.49997	20.51254
4.012500	95.65759	20.51166
4.020834	95.82006	20.51074
4.029167	95.98181	20.50976
4.037500	96.13996	20.50885
4.045833	96.30134	20.50800
4.054167	96.46534	20.50713
4.062500	96.62866	20.50625
4.070833	96.79921	20.50534
4.079167	96.96149	20.50439
4.087500	97.12350	20.50344
4.095833	97.28399	20.50245
4.104166	97.44550	20.50148
4.112500	97.60884	20.50060
4.120834	97.76684	20.49971
4.129166	97.91859	20.49881
4.137500	98.07856	20.49786
4.145834	98.24262	20.49685
4.154167	98.40081	20.49589
4.162500	98.56574	20.49500
4.170833	98.72891	20.49414
4.179167	98.88934	20.49333
4.187500	99.04995	20.49250
4.195833	99.21902	20.49161
4.204167	99.37426	20.49066
4.212500	99.53947	20.48971
4.220833	99.70347	20.48880
4.229166	99.86274	20.48796
4.237500	100.0227	20.48716
4.245834	100.1878	20.48634
4.254166	100.3520	20.48547
4.262500	100.5152	20.48452
4.270834	100.6737	20.48352
4.279167	100.8467	20.48252
4.287500	101.0055	20.48156
4.295833	101.1648	20.48066
4.304167	101.3284	20.47979
4.312500	101.4900	20.47888
4.320833	101.6546	20.47792
4.329167	101.8172	20.47692
4.337500	101.9820	20.47589
4.345833	102.1445	20.47494
4.354166	102.3101	20.47401
4.362500	102.4718	20.47303
4.370834	102.6454	20.47207
4.379166	102.8067	20.47112
4.387500	102.9579	20.47009
4.395834	103.1252	20.46908
4.404167	103.2859	20.46807
4.412500	103.4488	20.46712
4.420833	103.6166	20.46623
4.429167	103.7784	20.46536
4.437500	103.9406	20.46449
4.445833	104.1055	20.46367
4.454167	104.2664	20.46284
4.462500	104.4313	20.46192
4.470833	104.5972	20.46100
4.479166	104.7594	20.46007
4.487500	104.9222	20.45914
4.495834	105.0888	20.45824
4.504166	105.2508	20.45730
